probe_id	chromosome	position	VALUE
ID_57_RP11_497G19	12	116565471	0.0032
ID_58_RP11_500K7	3	148007958	-0.3398
ID_59_RP11_502A23	4	88974712	-0.3041
ID_60_RP11_402F5	5	67460420	-0.2764
ID_61_RP11_414I19	5	20379459	-0.3288
ID_62_RP11_420L4	5	169779568	-0.0614
ID_63_RP11_451H23	5	180605521	-0.0174
ID_64_RP11_467F22	5	113228585	-0.1931
ID_65_RP11_483M24	X	7119269	-0.0404
ID_66_RP11_521I20	19	49426892	0.1812
ID_67_RP11_531E6	12	83215875	-0.2324
ID_68_RP11_540E17	2	31407231	0.0732
ID_69_CTB_31C16	19	2733595	0.0402
ID_70_CTB_54I1	5	172475214	0.0162
ID_71_CTB_104P14	5	132323133	-0.0621
ID_72_CTC_279E3	5	159877422	-0.1678
ID_73_CTC_329H14	5	108734507	-0.2484
ID_74_CTC_366N20	5	95234018	-0.2194
ID_75_CTC_490G23	19	43364072	-0.1064
ID_76_CTC_539A10	19	10727683	0.0686
ID_77_CTD_2011L22	5	92752910	-0.3131
ID_78_CTD_2323H12	5	141760383	0.1399
ID_79_CTD_2337J16	19	54216026	0.0376
ID_80_CTD_2527I21	19	35185815	0.0812
ID_81_RP11_239G19	7	134605295	-0.0368
ID_82_RP11_241D13	11	108345792	-0.4948
ID_83_RP11_242J14	7	83855156	-0.1491
ID_84_RP11_252O10	3	73406173	-0.2431
ID_85_RP11_255G12	14	51400390	0.0389
ID_86_RP11_257N21	2	34228681	0.0446
ID_87_RP11_263G22	2	234053817	-0.1138
ID_88_RP11_264E20	11	128635602	-0.2948
ID_89_RP11_266O8	15	93287985	-0.2254
ID_90_RP11_25P2	11	96852783	-0.4238
ID_91_RP11_26L7	12	78142333	-0.1808
ID_92_RP11_27C22	2	45908781	0.0892
ID_93_RP11_30J14	3	152029292	-0.2994
ID_94_RP11_32O4	12	122848338	0.0659
ID_95_RP11_34L4	6	74535157	0.1199
ID_96_RP11_38H6	2	182655929	-0.2348
ID_97_RP11_41P8	15	94063997	-0.3751
ID_98_RP11_44H8	12	79745296	-0.1561
ID_99_RP11_46D24	11	80338669	-0.4968
ID_100_RP11_47I22	14	61582679	0.0009
ID_101_RP11_48E16	3	31706956	-0.2034
ID_102_RP11_1E21	18	51578707	-0.1598
ID_103_RP11_1K22	12	130693279	0.1369
ID_104_RP11_2B15	8	71609133	-0.1314
ID_105_RP11_3D19	8	96777322	-0.3264
ID_106_RP11_3J21	8	92152967	-0.2541
ID_107_RP11_4B7	11	16736156	-0.0471
ID_108_RP11_7H7	11	78731883	-0.1914
ID_109_RP11_7O20	11	14936122	-0.1961
ID_110_RP11_8P6	7	137429801	-0.0581
ID_111_RP11_11A18	8	112494476	-0.3368
ID_112_RP11_11G20	2	125344313	-0.0808
ID_113_RP11_11N6	4	90698619	-0.4081
ID_114_RP11_38P6	9	62096445	-0.2138
ID_115_RP11_111N8	1	78842171	1.9182
ID_116_RP11_155F20	22	20700122	-0.1281
ID_117_RP11_402B2	9	31692031	-0.6358
ID_118_RP11_630H9	9	30480321	-0.3784
ID_119_RP11_366G13	8	29935645	-0.0544
ID_120_RP11_368K8	14	75859995	-0.1778
ID_121_RP11_370K2	8	141622269	-0.1661
ID_122_RP11_379P15	11	8278378	0.0219
ID_123_RP11_380G10	3	35661660	-0.2908
ID_124_RP11_383C19	18	36584682	0.0686
ID_125_RP11_391P1	2	179838574	-0.0501
ID_126_RP11_394C19	12	46141610	-0.3471
ID_127_RP11_395F21	3	168437849	-0.3294
ID_128_RP11_403E9	17	30255561	-0.0868
ID_129_RP11_406H4	12	99099349	-0.0121
ID_130_RP11_153B10	5	113919170	-0.1994
ID_131_RP11_156E23	11	88628441	-0.4544
ID_132_RP11_169D1	Y	19522591	0.2649
ID_133_RP11_215D10	11	119988174	-0.1974
ID_134_RP11_231P15	11	62792843	0.0469
ID_135_RP11_243K12	17	6297515	0.0089
ID_136_RP11_275K4	4	169544308	0.1286
ID_137_RP11_295K3	11	1707549	0.0022
ID_138_RP11_300J18	14	88042030	-0.2444
ID_139_RP11_338K17	12	123717271	-0.0641
ID_140_RP11_349I16	11	94708238	-0.3151
ID_141_RP11_354H2	7	116309030	-0.0001
ID_142_RP11_415D21	12	104714321	0.0249
ID_143_RP11_416O18	3	182063613	-0.3148
ID_144_RP11_419E3	4	115256112	-0.2304
ID_145_RP11_424L2	3	41054689	-0.2124
ID_146_RP11_425F6	2	117715405	0.0412
ID_147_RP11_435O22	12	87348951	-0.2664
ID_148_RP11_436L21	2	49078880	0.0826
ID_149_RP11_438K19	2	111108474	0.0359
ID_150_RP11_445C21	3	181183868	-0.2371
ID_151_RP11_446J8	4	16472644	-0.3251
ID_152_RP11_449P15	7	1074754	0.1009
ID_153_RP4_530I15	20	50595931	-0.1588
ID_154_RP5_857M17	20	31727627	-0.0418
ID_155_RP5_1026E2	1	177269124	-0.2628
ID_156_RP5_1162C3	20	54228301	-0.2131
ID_157_RP11_542I3	4	44241939	0.1019
ID_158_RP11_550M19	14	57795811	-0.2364
ID_159_RP11_560I19	7	122257990	0.1279
ID_160_RP11_729G3	18	51030008	-0.0404
ID_161_CTB_1013H5	5	150091090	0.0572
ID_162_CTC_1286C20	5	177107098	0.0229
ID_163_CTD_2659N19	19	12729195	0.1406
ID_164_RP11_21M18	2	150387675	-0.1244
ID_165_RP11_22A24	8	119706193	-0.3181
ID_166_RP11_22N19	7	106245965	-0.0278
ID_167_RP11_276H1	7	28341023	0.0932
ID_168_RP11_278G12	2	37663690	0.0779
ID_169_RP11_280K20	4	31936935	-0.0104
ID_170_RP11_410A13	12	95637393	-0.0781
ID_171_RP11_25O3	18	52249803	-0.0598
ID_172_RP11_40C6	9	87487214	-0.1684
ID_173_RP11_161M6	16	1018504	-0.0294
ID_174_RP11_181L23	12	57523017	0.2856
ID_175_RP11_199F11	17	7674736	0.1036
ID_176_RP11_316E14	14	75052562	0.0146
ID_177_RP11_339F13	7	55236843	0.3672
ID_178_RP11_355H10	2	15974229	0.1759
ID_179_RP11_473A17	8	30968868	-0.2381
ID_180_RP11_497H16	5	70647523	-0.0898
ID_181_RP5_1118A7	8	143312567	0.0502
ID_182_RP5_1145A22	7	97696133	0.0592
ID_183_RP4_635O5	7	72106818	0.0916
ID_184_RP4_685A2	7	13924799	-0.1078
ID_185_RP4_756H11	7	66612591	0.1856
ID_186_RP11_194C13	11	36783288	-0.2211
ID_187_RP11_197I11	8	52090355	-0.2281
ID_188_RP11_200A13	8	105020203	-0.2858
ID_189_RP11_205I24	12	103651104	-0.0098
ID_190_RP11_207A10	16	22885840	0.0466
ID_191_RP11_208G16	3	22427205	-0.3918
ID_192_RP11_215A20	18	62846229	-0.1484
ID_193_RP11_215O6	20	31494933	-0.3771
ID_194_RP11_218L14	X	155525545	-0.1711
ID_195_RP11_227P3	11	50181895	-0.1971
ID_196_RP11_229G4	9	42423108	-0.5468
ID_197_RP11_231A23	15	60173602	-0.3564
ID_198_RP11_325K4	16	56873033	-0.0141
ID_199_RP11_326N15	4	111269510	-0.4454
ID_200_RP11_328H16	12	66921458	-0.0798
ID_201_RP11_335E8	2	76277210	-0.2418
ID_202_RP11_336N16	8	3138823	-0.3074
ID_203_RP11_339P1	2	115940850	-0.2841
ID_204_RP11_347P5	2	196072945	0.0429
ID_205_RP11_350B7	2	104975359	-0.0311
ID_206_RP11_350K6	18	59140233	0.2596
ID_207_RP11_357N13	16	53935870	-0.1178
ID_208_RP11_359H3	3	120450012	-0.2148
ID_209_RP11_361H10	14	76207200	-0.0601
ID_218_RP11_643C9	11	69872777	-0.1224
ID_221_RP11_47O13	10	51554125	-0.2731
ID_222_RP11_79I23	10	58753258	-0.2344
ID_223_RP11_95M17	10	82751400	-0.2398
ID_224_RP11_165M8	10	87944985	-0.1371
ID_225_RP11_176H12	10	64270088	-0.1968
ID_226_RP11_307B23	10	25722196	-0.4074
ID_227_RP11_323P17	10	120718216	-0.0244
ID_228_RP11_336A10	10	5678979	-0.0288
ID_229_RP11_373N18	10	104176941	-0.1138
ID_230_RP11_384P18	10	127195449	-0.1168
ID_231_RP11_401F24	10	11826517	-0.0654
ID_232_RP11_510P12	12	42815436	-0.0851
ID_233_RP11_513O17	8	57227175	-0.1301
ID_234_RP11_515O17	17	55312882	-0.1538
ID_235_RP11_525C11	3	191397901	-0.2674
ID_236_RP11_526D16	5	96563329	-0.2224
ID_237_RP11_526P7	8	139283129	-0.1314
ID_238_RP11_535A5	18	22313848	0.0139
ID_239_RP11_535P8	15	85440432	-0.3468
ID_240_RP11_538P18	3	158484785	-0.3044
ID_241_RP11_547F18	2	66985480	0.0549
ID_242_RP11_549B18	18	31634042	-0.0544
ID_243_RP11_550A18	7	29531123	0.0222
ID_244_RP4_633N17	1	27092928	0.1772
ID_245_RP4_561P1	1	33964854	0.0276
ID_246_RP5_884C9	1	38083388	0.0756
ID_247_RP5_944F13	1	69637875	-0.4061
ID_248_RP5_963M5	1	76452365	-0.5854
ID_249_RP4_653E17	1	81650516	-0.4011
ID_250_RP4_663N10	1	115404862	-0.1248
ID_251_RP3_365I19	1	145005471	-0.2021
ID_252_RP4_702J19	1	168066274	-0.0104
ID_253_RP1_155L11	8	35312419	-0.3501
ID_254_RP1_198M21	8	41590280	-0.0704
ID_255_RP1_252K6	8	65032620	-0.2398
ID_256_RP3_502L6	5	10872868	0.0722
ID_257_RP4_548K24	7	150904145	0.3899
ID_258_RP4_771P4	7	74680930	-0.0298
ID_259_RP4_811H12	7	147621306	-0.0858
ID_260_RP5_836L9	17	20229836	-0.1611
ID_261_RP5_916L7	12	125956286	-0.0328
ID_262_RP11_467P9	2	71114135	-0.0264
ID_263_RP11_470J24	2	206351071	-0.0694
ID_264_RP11_474N8	12	57140113	0.3369
ID_265_RP11_481J13	2	56218649	0.0206
ID_266_RP11_482L11	11	85434440	-0.1314
ID_267_RP11_484I19	3	171197792	-0.3311
ID_268_RP11_491K7	3	165794099	-0.1678
ID_269_RP11_494N20	8	117574089	-0.2848
ID_270_RP11_495H13	4	178762507	-0.2528
ID_271_RP11_502P1	18	3964976	-0.0041
ID_272_RP11_504G3	11	18663897	-0.0028
ID_273_RP11_505D17	7	8030753	0.0429
ID_274_RP11_430E17	18	28134459	-0.2331
ID_275_RP11_433O22	8	88228157	-0.2844
ID_276_RP11_443I10	7	108045047	0.0112
ID_277_RP11_489O1	16	15491366	-0.0378
ID_278_RP11_494P23	5	68080721	-0.2744
ID_279_RP11_506M9	Y	23685515	0.0746
ID_280_RP11_553J15	5	17144151	-0.1828
ID_281_RP11_563O5	7	114663226	-0.0811
ID_282_RP11_567J20	8	48610409	-0.2204
ID_283_RP11_105C19	16	22760722	0.2056
ID_284_RP11_285H8	19	13844198	0.0942
ID_285_CTB_137O22	5	150657177	0.0619
ID_286_CTB_186G2	19	38647454	0.1599
ID_287_CTC_250I14	19	13187049	0.0749
ID_288_CTC_431G16	5	79820261	-0.1341
ID_289_CTC_451A6	19	22675203	-0.1821
ID_290_CTC_471F3	6	5189334	-0.1111
ID_291_CTD_2081K17	14	39330995	-0.2204
ID_292_CTD_2200O3	5	76335833	-0.2271
ID_293_CTD_2267H19	5	36292495	-0.3261
ID_294_CTD_2583G20	19	31063955	-0.1411
ID_295_CTD_3149D2	19	17702659	0.2496
ID_296_RP11_245A17	18	10965443	-0.1784
ID_297_RP11_248L3	17	53082634	0.0089
ID_298_RP11_250N10	2	177593126	-0.0408
ID_299_RP11_259G7	4	153818406	-0.2284
ID_300_RP11_260K8	2	58969713	-0.0691
ID_301_RP11_262M8	14	52329401	-0.1711
ID_302_RP11_268G12	X	27190056	-0.2848
ID_303_RP11_269I24	8	130636895	-0.1681
ID_304_RP11_272D12	15	73276489	-0.3244
ID_305_RP11_282G13	7	142986870	0.0032
ID_306_RP11_283F6	9	7352688	-0.0434
ID_307_RP11_285E23	12	101753331	1.5849
ID_308_RP11_27N21	8	79735246	-0.3214
ID_309_RP11_28I9	5	45603647	-0.2538
ID_310_RP11_30F17	19	6484171	-0.0521
ID_311_RP11_44M22	3	19398939	-0.4641
ID_312_RP11_45C5	11	100846526	-0.3121
ID_313_RP11_45K10	8	63483447	-0.2401
ID_314_RP11_49M9	11	100309371	-0.3561
ID_315_RP11_51B9	18	7916353	-0.0584
ID_316_RP11_52C8	2	231882255	-0.0128
ID_317_RP11_2F9	15	22091599	-0.0178
ID_318_RP11_2I17	15	72148670	-0.1111
ID_319_RP11_2K18	8	114756387	-0.1301
ID_320_RP11_4F24	17	1715089	0.0989
ID_321_RP11_4O3	4	57706948	-0.3441
ID_322_RP11_9B6	4	92285580	-0.2908
ID_323_RP11_10E6	4	105950875	-0.1168
ID_324_RP11_10G12	4	22625784	-0.1998
ID_325_RP11_12A13	3	94970295	-0.3888
ID_326_RP11_12J13	3	95897988	-0.2304
ID_327_RP11_12N13	3	166229890	-0.1881
ID_328_RP11_205M20	9	32539839	-0.0864
ID_329_RP11_326F20	9	33177054	0.0469
ID_330_RP11_757F24	22	22520457	-0.1991
ID_331_RP11_372A6	2	186941888	0.2492
ID_332_RP11_373J21	4	72326560	-0.0814
ID_333_RP11_377G16	4	80273113	-0.2018
ID_334_RP11_384D10	4	171136010	-0.1821
ID_335_RP11_388M7	14	47182753	-0.0988
ID_336_RP11_390C19	4	29859027	-0.2844
ID_337_RP11_396J8	2	210151074	0.0186
ID_338_RP11_398J5	17	79192608	0.0232
ID_339_RP11_400O18	2	185780422	-0.1178
ID_340_RP11_413I9	18	32502131	0.0986
ID_341_RP11_414I8	2	136978858	-0.0451
ID_342_RP11_177H13	8	23283499	-0.2301
ID_343_RP11_185E13	9	103866998	-0.3008
ID_344_RP11_209I11	Y	21364921	0.2582
ID_345_RP11_245N4	2	70363802	0.0392
ID_346_RP11_261M11	X	24331304	-0.0078
ID_347_RP11_265I24	5	155157049	-0.0678
ID_348_RP11_313C14	18	46516707	0.2562
ID_349_RP11_319P13	5	107470759	-0.0918
ID_350_RP11_324M21	7	52731745	-0.0531
ID_351_RP11_374E21	5	21629397	-0.2138
ID_352_RP11_388K12	8	93237890	-0.1494
ID_353_RP11_394O4	5	149384494	0.0819
ID_354_RP11_419J16	18	10111599	0.1799
ID_355_RP11_420H19	7	125344075	0.0939
ID_356_RP11_421J10	2	45271107	0.0249
ID_357_RP11_428B4	4	98841010	-0.1981
ID_358_RP11_432I22	11	126541861	-0.1214
ID_359_RP11_434C1	12	11589971	-0.1541
ID_360_RP11_439F4	3	9881978	0.0126
ID_361_RP11_440P5	2	60518329	0.4819
ID_362_RP11_443I3	12	52905146	0.0672
ID_363_RP11_451G1	2	103917183	-0.0674
ID_364_RP11_457E6	3	122736328	-0.1788
ID_365_RP11_458J7	2	151956307	0.0349
ID_366_RP1_64G16	21	28399045	-0.1494
ID_367_RP1_171F15	21	40336904	0.0782
ID_368_RP1_270M7	21	15001405	-0.1711
ID_369_RP1_130E4	6	152157508	0.0086
ID_370_RP1_142L7	6	112152328	-0.3664
ID_371_RP3_416J11	11	2123037	0.2256
ID_372_RP5_1091E12	7	54974867	0.2752
ID_373_RP11_750P5	11	102634956	-0.0881
ID_374_RP11_809L8	8	18447878	-0.4871
ID_375_RP11_948G15	17	43020098	0.2016
ID_376_CTD_2052F19	5	34950545	-0.1481
ID_377_CTD_2504F3	16	16086485	0.1582
ID_378_RP11_279J9	9	115163674	-0.1788
ID_379_RP11_404K23	9	115538681	-0.1991
ID_380_RP11_13F20	4	100451159	-0.3044
ID_381_RP11_13N11	4	170883920	-0.2811
ID_382_RP11_14I17	8	26395902	-0.4288
ID_383_RP11_35B20	14	45327803	-0.0964
ID_384_RP11_35P15	11	117732792	-0.0441
ID_385_RP11_36J15	18	9551183	-0.0298
ID_386_RP11_83J21	9	130859531	0.0682
ID_387_RP11_99M10	18	10521863	-0.0231
ID_388_RP11_132L11	7	45984310	0.3449
ID_389_RP11_241J12	5	80799246	-0.0914
ID_390_RP11_264H19	10	101531948	0.0242
ID_391_RP11_301H15	8	32645602	-0.1974
ID_392_RP11_380G5	10	87947980	-0.1178
ID_393_RP11_422A16	22	41260958	0.0452
ID_394_RP11_438J1	3	10225808	-0.0838
ID_395_RP11_546M21	17	43946392	0.1236
ID_396_RP5_1022I14	7	43965049	0.3466
ID_397_RP5_1083G3	11	31860441	-0.0994
ID_398_RP1_108M6	X	9694543	0.0499
ID_399_RP1_179P12	5	129996295	-0.0238
ID_400_RP4_572A3	5	57661701	-0.1868
ID_401_RP5_866N18	7	117211094	0.1972
ID_402_RP5_1050D4	17	4976292	0.2252
ID_403_RP5_1084H12	7	91552906	0.1542
ID_404_RP5_991O23	8	5547720	-0.2894
ID_405_RP5_1129A6	X	18227174	-0.0481
ID_406_RP5_1194E14	10	15607422	0.0402
ID_407_RP11_202H2	12	86686585	-0.0571
ID_408_RP11_203D9	14	84391265	-0.1874
ID_409_RP11_204J18	3	62308172	-0.1768
ID_410_RP11_209H21	3	159614272	-0.2228
ID_411_RP11_211H6	4	4946106	-0.1488
ID_412_RP11_213G21	4	38679119	-0.1114
ID_413_RP11_220N20	17	46745527	0.1092
ID_414_RP11_223L18	3	153834133	-0.2818
ID_415_RP11_226F19	14	68956629	0.0152
ID_416_RP11_233C13	15	89784193	-0.0984
ID_417_RP11_235L22	2	189922786	-0.1128
ID_418_RP11_238F2	17	70761215	-0.2714
ID_419_RP11_329H24	2	149701602	-0.0294
ID_420_RP11_331G2	3	39206877	0.0562
ID_421_RP11_333I20	3	78883157	-0.0191
ID_422_RP11_341G5	4	13962097	-0.2841
ID_423_RP11_343C9	4	39852137	-0.1338
ID_424_RP11_344L6	16	112177	0.1152
ID_425_RP11_353B9	15	49697088	-0.2908
ID_426_RP11_355D13	15	43421062	-0.2334
ID_427_RP11_356B18	3	59002962	-0.1338
ID_428_RP11_362A9	3	152399515	-0.2218
ID_429_RP11_363D14	2	96487109	0.2469
ID_430_RP11_364L4	4	143310000	-0.2054
ID_437_RP11_381E5	11	77374566	-0.2848
ID_438_RP11_25F7	11	76658995	0.0809
ID_440_RP11_285P3	1	14401911	-0.0854
ID_441_RP11_509F14	1	24242938	0.0636
ID_442_RP11_277A4	1	32119678	0.0516
ID_443_RP11_261J10	1	72648735	1.2546
ID_444_RP11_143H12	1	98522423	-0.1388
ID_445_RP11_118G19	1	105205967	-0.2908
ID_446_RP11_88H9	1	112052185	-0.0174
ID_447_RP11_418J17	1	119260827	-0.1058
ID_448_RP11_137A12	1	161188078	0.0136
ID_449_RP11_306I1	1	165630004	-0.2434
ID_450_RP11_163L4	1	177829340	-0.1801
ID_451_RP1_234M6	20	23662174	-0.2314
ID_452_RP3_348M17	20	16701693	-0.3608
ID_453_RP4_600E6	20	39532121	-0.3231
ID_454_RP5_836E13	20	60872396	-0.2574
ID_455_RP5_1005L2	20	46246715	0.0896
ID_456_RP5_1071L10	20	50849657	-0.1614
ID_457_CTA_221H1	22	34182871	-0.2414
ID_458_CTA_390B3	22	37440571	-0.1841
ID_459_CTA_722E9	22	49468272	-0.1861
ID_460_RP11_490H9	9	77101895	-0.2314
ID_461_RP11_509D8	9	5026490	-0.1974
ID_462_RP11_540H22	9	106499916	-0.3814
ID_463_RP11_122O1	20	38697274	-0.1064
ID_464_RP11_348I14	20	30320096	-0.1598
ID_465_RP11_504H3	20	17952303	-0.1521
ID_466_RP11_65G20	X	138462586	-0.1598
ID_467_RP11_159L8	X	79193740	-0.0724
ID_468_RP11_230E14	X	104446086	-0.0238
ID_469_RP11_539A6	X	105357097	-0.1808
ID_470_RP13_34G21	X	139772485	-0.0354
ID_471_RP13_188A5	X	56077533	-0.0394
ID_472_RP11_87G24	17	76919476	0.1232
ID_473_RP11_88H10	3	145897631	-0.1098
ID_474_RP11_88N8	8	74573409	-0.2454
ID_475_RP11_90N21	3	157697961	-0.2711
ID_476_RP11_91K8	3	133494402	0.0722
ID_477_RP11_92G19	18	5015051	-0.0144
ID_478_RP11_98N22	14	20112681	-0.2931
ID_479_RP11_99H5	16	13906853	-0.1241
ID_480_RP11_100N3	11	56793882	-0.1838
ID_481_RP11_106F1	7	123205293	-0.0121
ID_482_RP11_107G7	4	87677286	-0.1028
ID_483_RP11_108A8	3	63364905	-0.3191
ID_484_RP11_75C23	1	197460101	-0.2154
ID_485_RP11_383G10	1	205287388	0.0172
ID_486_RP11_87P4	1	232628034	-0.0211
ID_487_RP11_427L15	10	118709755	-0.0914
ID_488_RP11_432I13	10	45341338	-0.0691
ID_489_RP11_470J18	10	84558585	-0.0428
ID_490_RP11_699H2	10	106737734	-0.3214
ID_491_RP11_765C10	10	88047172	-0.0281
ID_492_RP13_404M3	10	34318263	-0.4931
ID_493_RP11_551O2	2	169302293	0.0506
ID_494_RP11_553E4	3	183022940	-0.1438
ID_495_RP11_555L17	4	128283964	-0.1048
ID_496_RP11_563P16	11	103591738	-0.3754
ID_497_RP11_565O12	15	84563047	-0.1834
ID_498_RP11_567M21	11	130139107	-0.1348
ID_499_RP11_28M9	21	19095812	-0.0494
ID_500_RP11_113F1	21	42305119	0.1716
ID_501_RP11_258A5	21	21948624	-0.2544
ID_502_RP11_593A16	6	129955946	0.0712
ID_503_RP11_707H15	6	80806662	-0.0631
ID_504_RP11_100E6	6	155679439	-0.1378
ID_505_RP11_95G17	6	122666171	-0.3444
ID_506_RP11_106G15	6	87604704	-0.2531
ID_507_RP11_162O6	6	40873645	-0.0958
ID_508_RP11_334H12	6	48833392	-0.2001
ID_509_RP11_360O19	6	10543219	-0.3821
ID_510_RP11_384A24	6	128178075	-0.2371
ID_511_RP11_554O14	6	45000537	-0.1231
ID_512_RP11_349P19	6	64419452	-0.1964
ID_513_RP11_545I5	6	145802956	-0.1728
ID_514_RP6_27C10	X	29149710	0.0946
ID_515_RP1_20J23	X	137430856	-0.0084
ID_516_RP1_73A14	X	146942558	0.0662
ID_517_RP1_312P4	11	115833500	-0.1518
ID_518_RP3_341D10	X	100981795	0.0249
ID_519_RP3_380C13	X	95506240	-0.1581
ID_520_RP4_595A18	X	140592139	-0.0651
ID_521_RP5_820B18	X	107855732	0.0329
ID_522_RP5_914P14	X	111291291	-0.2031
ID_523_LL22NC01_95B1	22	33627886	-0.2368
ID_524_RP3_355C18	22	40817626	-0.2701
ID_525_RP1_127L4	22	32133339	-0.1821
ID_526_RP1_34B20	6	26273178	-0.1751
ID_527_RP1_86C11	6	27121180	-0.1518
ID_528_RP1_111D6	6	149246928	-0.1241
ID_529_RP1_283K11	6	2313181	-0.1918
ID_530_RP3_336H9	6	50765879	-0.1891
ID_531_RP3_365O12	6	46901516	-0.1998
ID_532_RP4_625H18	6	19817679	-0.2234
ID_533_RP5_1086L22	6	170290497	0.0376
ID_534_RP1_249F5	6	159948103	1.0562
ID_535_RP3_329H16	6	119288437	-0.3788
ID_536_RP3_418C23	6	97343062	-0.2564
ID_537_RP3_449G2	6	102935349	-0.4431
ID_538_RP11_11J1	9	22539659	-0.0791
ID_539_RP11_20P5	9	28125764	-0.5871
ID_540_RP11_27J8	9	27513676	-0.5718
ID_541_RP11_78H18	9	114884627	-0.1208
ID_542_RP11_92C4	9	98877376	-0.1724
ID_543_RP11_109M15	9	16243335	-0.0694
ID_544_RP11_175E13	9	8488112	-0.2521
ID_545_RP11_202H3	9	130110371	-0.0944
ID_546_RP11_240L7	9	96303231	-0.1568
ID_547_RP11_362L2	9	79511171	-0.2418
ID_548_RP11_388N6	9	109411838	-0.2188
ID_549_RP11_408A13	9	14513258	-0.0421
ID_550_RP11_113G13	4	87863107	-0.2538
ID_551_RP11_114I12	16	6943125	-0.2551
ID_552_RP11_115B22	3	104691810	-0.4014
ID_553_RP11_120C2	3	57343142	-0.2681
ID_554_RP11_121A8	7	38179483	-0.2908
ID_555_RP11_122B24	4	104228238	-0.4064
ID_556_RP11_127I20	16	4787205	-0.1084
ID_557_RP11_129J11	3	130335244	-0.1964
ID_558_RP11_132H1	2	13525629	-0.1568
ID_559_RP11_140G18	3	192169743	-0.4278
ID_560_RP11_141D15	17	78217359	0.0669
ID_561_RP11_142M24	15	26664092	-0.2854
ID_562_RP11_2J21	5	77906934	-0.1968
ID_563_RP11_3H15	5	88039149	-0.2734
ID_564_RP11_11C20	8	51773544	-0.1654
ID_565_RP11_17L14	5	108057825	-0.2194
ID_566_RP11_20F20	1	57304380	0.0422
ID_567_RP11_21K15	7	126731065	0.0052
ID_568_RP11_44L20	19	53055332	-0.0538
ID_569_RP11_57I6	5	23683807	-0.1674
ID_570_RP11_65A5	8	140394560	-0.0788
ID_571_RP11_102A1	5	157905115	-0.1994
ID_572_RP11_114K7	11	116299639	-0.1681
ID_573_RP11_115H13	Y	6907921	0.2712
ID_574_RP11_17E4	13	111144692	-0.1358
ID_575_RP11_40E6	13	109833740	-0.2111
ID_576_RP11_67L17	13	63550041	-0.2594
ID_577_RP11_129M14	13	65341720	-0.2551
ID_578_RP11_141M24	13	108804129	-0.0971
ID_579_RP11_185C18	13	49514252	-0.0324
ID_580_RP11_279F15	13	57148383	-0.0268
